year,state,SDP,SDP_NORM
2009,KERALA,157123,291324.3285
2009,MADHYA PRADESH,147933,246297.1058
2009,CHHATTISGARH,59263,121728.5036
2009,MAHARASHTRA,599338,970264.8557
2009,MANIPUR,6039,10831.96179
2009,MEGHALAYA,8396,14691.16646
2009,MIZORAM,3832,5570.971169
2009,NAGALAND,7842,8908.025831
2009,ORISSA,93957,185166.7723
2009,PUNJAB,122097,213223.8754
2009,RAJASTHAN,161159,314236.5616
2009,SIKKIM,3659,7837.726033
2009,TAMIL NADU,316760,552763.853
2009,TRIPURA,12287,14841.36003
2009,UTTAR PRADESH,320989,566760.9321
2009,UTTARAKHAND,43407,83904.18063
2009,WEST BENGAL,263230,430366.2074
2009,ANDAMAN & NICOBAR ISLANDS,2911,2888.092101
2009,CHANDIGARH,11767,16658.19132
2009,DELHI,159044,276907.0429
2009,PUDUCHERRY,9197,13704.19894
2009,TELANGANA,129267,261701.2435
2010,ANDHRA PRADESH,186041,330210.7804
2010,ARUNACHAL PRADESH,4735,9719.910696
2010,ASSAM,64310,124268.1088
2010,BIHAR,117503,207295.2107
2010,GOA,19293,31500.82207
2010,GUJARAT,315892,499605.5064
2010,HARYANA,146053,249822.1902
2010,HIMACHAL PRADESH,31590,56319.60654
2010,JAMMU & KASHMIR,32256,61986.75093
2010,JHARKHAND,76134,130487.8841
2010,KARNATAKA,240817,538791.6295
2010,KERALA,167178,309967.4688
2010,MADHYA PRADESH,155701,259230.2304
2010,CHHATTISGARH,64977,133465.2815
2010,MAHARASHTRA,667625,1080814.289
2010,MANIPUR,5862,10514.48253
2010,MEGHALAYA,9226,16143.4852
2010,MIZORAM,4539,6598.809535
2010,NAGALAND,8587,9754.299645
2010,ORISSA,99880,196839.5885
2010,PUNJAB,129983,226995.5773
2010,RAJASTHAN,185366,361436.6835
2010,SIKKIM,4028,8628.138962
2010,TAMIL NADU,359961,628152.0055
2010,TRIPURA,13215,15962.28313
2010,UTTAR PRADESH,346621,612018.6082
2010,UTTARAKHAND,47967,92718.49776
2010,WEST BENGAL,279191,456461.5425
2010,ANDAMAN & NICOBAR ISLANDS,3164,3139.101137
2010,CHANDIGARH,11765,16655.35998
2010,DELHI,172235,299873.5226
2010,PUDUCHERRY,9812,14620.59367
2010,TELANGANA,152123,307973.2512
2011,ANDHRA PRADESH,191554,339996
2011,ARUNACHAL PRADESH,4983,10229
2011,ASSAM,66942,129354
2011,BIHAR,129521,228497
2011,GOA,23279,38009
2011,GUJARAT,336886,532809
2011,HARYANA,158523,271152
2011,HIMACHAL PRADESH,33955,60536
2011,JAMMU & KASHMIR,33990,65319
2011,JHARKHAND,80157,137383
2011,KARNATAKA,248040,554952
2011,KERALA,176915,328021
2011,MADHYA PRADESH,169600,282371
2011,CHHATTISGARH,69265,142273
2011,MAHARASHTRA,695904,1126595
2011,MANIPUR,6412,11501
2011,MEGHALAYA,10303,18028
2011,MIZORAM,4405,6404
2011,NAGALAND,9291,10554
2011,ORISSA,103628,204226
2011,PUNJAB,136987,239227
2011,RAJASTHAN,202749,395331
2011,SIKKIM,4548,9742
2011,TAMIL NADU,386508,674478
2011,TRIPURA,14421,17419
2011,UTTAR PRADESH,365375,645132
2011,UTTARAKHAND,52748,101960
2011,WEST BENGAL,289432,473205
2011,ANDAMAN & NICOBAR ISLANDS,3431,3404
2011,CHANDIGARH,11959,16930
2011,DELHI,180722,314650
2011,PUDUCHERRY,10174,15160
2011,TELANGANA,160602,325139
2012,ANDHRA PRADESH,341335,341335
2012,ARUNACHAL PRADESH,10399,10399
2012,ASSAM,132518,132518
2012,BIHAR,236933,236933
2012,GOA,32453,32453
2012,GUJARAT,596659,596659
2012,HARYANA,289756,289756
2012,HIMACHAL PRADESH,64519,64519
2012,JAMMU & KASHMIR,67316,67316
2012,JHARKHAND,149526,149526
2012,KARNATAKA,593192,593192
2012,KERALA,348616,348616
2012,MADHYA PRADESH,306853,306853
2012,CHHATTISGARH,148760,148760
2012,MAHARASHTRA,1189711,1189711
2012,MANIPUR,11515,11515
2012,MEGHALAYA,18323,18323
2012,MIZORAM,6836,6836
2012,NAGALAND,11163,11163
2012,ORISSA,216301,216301
2012,PUNJAB,251813,251813
2012,RAJASTHAN,409802,409802
2012,SIKKIM,9970,9970
2012,TAMIL NADU,709343,709343
2012,TRIPURA,18857,18857
2012,UTTAR PRADESH,673552,673552
2012,UTTARAKHAND,109528,109528
2012,WEST BENGAL,492901,492901
2012,ANDAMAN & NICOBAR ISLANDS,3558,3558
2012,CHANDIGARH,18305,18305
2012,DELHI,334193,334193
2012,PUDUCHERRY,15507,15507
2012,TELANGANA,334205,334205
2013,ANDHRA PRADESH,360239,360239
2013,ARUNACHAL PRADESH,11226,11226
2013,ASSAM,138725,138725
2013,BIHAR,246915,246915
2013,GOA,27971,27971
2013,GUJARAT,641489,641489
2013,HARYANA,314931,314931
2013,HIMACHAL PRADESH,69398,69398
2013,JAMMU & KASHMIR,70536,70536
2013,JHARKHAND,150609,150609
2013,KARNATAKA,646787,646787
2013,KERALA,364707,364707
2013,MADHYA PRADESH,322598,322598
2013,CHHATTISGARH,163494,163494
2013,MAHARASHTRA,1267551,1267551
2013,MANIPUR,12519,12519
2013,MEGHALAYA,18397,18397
2013,MIZORAM,7831,7831
2013,NAGALAND,11923,11923
2013,ORISSA,233122,233122
2013,PUNJAB,267515,267515
2013,RAJASTHAN,434292,434292
2013,SIKKIM,10590,10590
2013,TAMIL NADU,750416,750416
2013,TRIPURA,20623,20623
2013,UTTAR PRADESH,707469,707469
2013,UTTARAKHAND,117778,117778
2013,WEST BENGAL,503952,503952
2013,ANDAMAN & NICOBAR ISLANDS,3811,3811
2013,CHANDIGARH,19813,19813
2013,DELHI,356528,356528
2013,PUDUCHERRY,17239,17239
2013,TELANGANA,349593,349593
2014,ANDHRA PRADESH,397064,397064
2014,ARUNACHAL PRADESH,13082,13082
2014,ASSAM,146425,146425
2014,BIHAR,255739,255739
2014,GOA,36042,36042
2014,GUJARAT,705629,705629
2014,HARYANA,333359,333359
2014,HIMACHAL PRADESH,74553,74553
2014,JAMMU & KASHMIR,67154,67154
2014,JHARKHAND,170568,170568
2014,KARNATAKA,671283,671283
2014,KERALA,382134,382134
2014,MADHYA PRADESH,339247,339247
2014,CHHATTISGARH,165354,165354
2014,MAHARASHTRA,1345341,1345341
2014,MANIPUR,13615,13615
2014,MEGHALAYA,17893,17893
2014,MIZORAM,9960,9960
2014,NAGALAND,12406,12406
2014,ORISSA,235931,235931
2014,PUNJAB,278485,278485
2014,RAJASTHAN,465408,465408
2014,SIKKIM,11437,11437
2014,TAMIL NADU,791915,791915
2014,TRIPURA,24407,24407
2014,UTTAR PRADESH,729686,729686
2014,UTTARAKHAND,125702,125702
2014,WEST BENGAL,515702,515702
2014,ANDAMAN & NICOBAR ISLANDS,4151,4151
2014,CHANDIGARH,20353,20353
2014,DELHI,387639,387639
2014,PUDUCHERRY,16055,16055
2014,TELANGANA,372897,372897
2015,ANDHRA PRADESH,446997,446997
2015,ARUNACHAL PRADESH,12889,12889
2015,ASSAM,167629,167629
2015,BIHAR,269200,269200
2015,GOA,41929,41929
2015,GUJARAT,774775,774775
2015,HARYANA,372700,372700
2015,HIMACHAL PRADESH,80563,80563
2015,JAMMU & KASHMIR,80602,80602
2015,JHARKHAND,158231,158231
2015,KARNATAKA,749952,749952
2015,KERALA,411150,411150
2015,MADHYA PRADESH,370716,370716
2015,CHHATTISGARH,168879,168879
2015,MAHARASHTRA,1452513,1452513
2015,MANIPUR,14635,14635
2015,MEGHALAYA,18330,18330
2015,MIZORAM,10948,10948
2015,NAGALAND,12600,12600
2015,ORISSA,253192,253192
2015,PUNJAB,294895,294895
2015,RAJASTHAN,501922,501922
2015,SIKKIM,12484,12484
2015,TAMIL NADU,862437,862437
2015,TRIPURA,23745,23745
2015,UTTAR PRADESH,792049,792049
2015,UTTARAKHAND,136144,136144
2015,WEST BENGAL,546988,546988
2015,ANDAMAN & NICOBAR ISLANDS,4483,4483
2015,CHANDIGARH,22058,22058
2015,DELHI,431730,431730
2015,PUDUCHERRY,17025,17025
2015,TELANGANA,416892,416892
2016,ANDHRA PRADESH,477566,477566
2016,ARUNACHAL PRADESH,13396,13396
2016,ASSAM,179632,179632
2016,BIHAR,289265,289265
2016,GOA,46371,46371
2016,GUJARAT,843930,843930
2016,HARYANA,412055,412055
2016,HIMACHAL PRADESH,88112,88112
2016,JAMMU & KASHMIR,82636,82636
2016,JHARKHAND,176363,176363
2016,KARNATAKA,851394,851394
2016,KERALA,443615,443615
2016,MADHYA PRADESH,419465,419465
2016,CHHATTISGARH,187541,187541
2016,MAHARASHTRA,1596121,1596121
2016,MANIPUR,15201,15201
2016,MEGHALAYA,19295,19295
2016,MIZORAM,12029,12029
2016,NAGALAND,13488,13488
2016,ORISSA,293348,293348
2016,PUNJAB,315783,315783
2016,RAJASTHAN,529650,529650
2016,SIKKIM,13416,13416
2016,TAMIL NADU,922084,922084
2016,TRIPURA,27204,27204
2016,UTTAR PRADESH,888453,888453
2016,UTTARAKHAND,150303,150303
2016,WEST BENGAL,584911,584911
2016,ANDAMAN & NICOBAR ISLANDS,5091,5091
2016,CHANDIGARH,23842,23842
2016,DELHI,461592,461592
2016,PUDUCHERRY,18284,18284
2016,TELANGANA,455731,455731
2017,ANDHRA PRADESH,526626,526626
2017,ARUNACHAL PRADESH,13923,13923
2017,ASSAM,195262,195262
2017,BIHAR,312605,312605
2017,GOA,47077,47077
2017,GUJARAT,946511,946511
2017,HARYANA,434407,434407
2017,HIMACHAL PRADESH,93525,93525
2017,JAMMU & KASHMIR,87591,87591
2017,JHARKHAND,191573,191573
2017,KARNATAKA,915642,915642
2017,KERALA,473182,473182
2017,MADHYA PRADESH,441956,441956
2017,CHHATTISGARH,194073,194073
2017,MAHARASHTRA,1661065,1661065
2017,MANIPUR,16870,16870
2017,MEGHALAYA,19964,19964
2017,MIZORAM,13779,13779
2017,NAGALAND,14178,14178
2017,ORISSA,316192,316192
2017,PUNJAB,335057,335057
2017,RAJASTHAN,557618,557618
2017,SIKKIM,15204,15204
2017,TAMIL NADU,1000308,1000308
2017,TRIPURA,29505,29505
2017,UTTAR PRADESH,922458,922458
2017,UTTARAKHAND,162205,162205
2017,WEST BENGAL,623787,623787
2017,ANDAMAN & NICOBAR ISLANDS,5750,5750
2017,CHANDIGARH,25289,25289
2017,DELHI,487631,487631
2017,PUDUCHERRY,20024,20024
2017,TELANGANA,498145,498145
2018,ANDHRA PRADESH,558862,558862
2018,ARUNACHAL PRADESH,14897,14897
2018,ASSAM,204627,204627
2018,BIHAR,345545,345545
2018,GOA,47425,47425
2018,GUJARAT,1034399,1034399
2018,HARYANA,470328,470328
2018,HIMACHAL PRADESH,99218,99218
2018,JAMMU & KASHMIR,93072,93072
2018,JHARKHAND,208701,208701
2018,KARNATAKA,974815,974815
2018,KERALA,510787,510787
2018,MADHYA PRADESH,482361,482361
2018,CHHATTISGARH,209211,209211
2018,MAHARASHTRA,1728578,1728578
2018,MANIPUR,16193,16193
2018,MEGHALAYA,20968,20968
2018,MIZORAM,14116,14116
2018,NAGALAND,15055,15055
2018,ORISSA,338339,338339
2018,PUNJAB,353942,353942
2018,RAJASTHAN,568102,568102
2018,SIKKIM,15889,15889
2018,TAMIL NADU,1071602,1071602
2018,TRIPURA,32703,32703
2018,UTTAR PRADESH,949184,949184
2018,UTTARAKHAND,166519,166519
2018,WEST BENGAL,659288,659288
2018,ANDAMAN & NICOBAR ISLANDS,6108,6108
2018,CHANDIGARH,26654,26654
2018,DELHI,506332,506332
2018,PUDUCHERRY,23468,23468
2018,TELANGANA,544441,544441
2019,ANDHRA PRADESH,595658,595658
2019,ARUNACHAL PRADESH,17091,17091
2019,ASSAM,212315,212315
2019,BIHAR,359196,359196
2019,GOA,48509,48509
2019,GUJARAT,1110179,1110179
2019,HARYANA,507776,507776
2019,HIMACHAL PRADESH,102613,102613
2019,JAMMU & KASHMIR,90791,90791
2019,JHARKHAND,209913,209913
2019,KARNATAKA,1030357,1030357
2019,KERALA,521455,521455
2019,MADHYA PRADESH,508146,508146
2019,CHHATTISGARH,220624,220624
2019,MAHARASHTRA,1782903,1782903
2019,MANIPUR,17756,17756
2019,MEGHALAYA,21997,21997
2019,MIZORAM,13050,13050
2019,NAGALAND,15853,15853
2019,ORISSA,346106,346106
2019,PUNJAB,367558,367558
2019,RAJASTHAN,598550,598550
2019,SIKKIM,16588,16588
2019,TAMIL NADU,1099402,1099402
2019,TRIPURA,33695,33695
2019,UTTAR PRADESH,980106,980106
2019,UTTARAKHAND,166351,166351
2019,WEST BENGAL,697554,697554
2019,ANDAMAN & NICOBAR ISLANDS,6430,6430
2019,CHANDIGARH,27817,27817
2019,DELHI,521994,521994
2019,PUDUCHERRY,23672,23672
2019,TELANGANA,572736,572736
2020,ANDHRA PRADESH,593869,593869
2020,ARUNACHAL PRADESH,16588,16588
2020,ASSAM,199646,199646
2020,BIHAR,344183,344183
2020,GOA,46421,46421
2020,GUJARAT,1099259,1099259
2020,HARYANA,480471,480471
2020,HIMACHAL PRADESH,98132,98132
2020,JAMMU & KASHMIR,87102,87102
2020,JHARKHAND,196467,196467
2020,KARNATAKA,1026875,1026875
2020,KERALA,472272,472272
2020,MADHYA PRADESH,490238,490238
2020,CHHATTISGARH,215126,215126
2020,MAHARASHTRA,1653094,1653094
2020,MANIPUR,18230,18230
2020,MEGHALAYA,20620,20620
2020,MIZORAM,11781,11781
2020,NAGALAND,15200,15200
2020,ORISSA,326253,326253
2020,PUNJAB,352357,352357
2020,RAJASTHAN,583645,583645
2020,SIKKIM,16147,16147
2020,TAMIL NADU,1094471,1094471
2020,TRIPURA,32615,32615
2020,UTTAR PRADESH,910011,910011
2020,UTTARAKHAND,156792,156792
2020,WEST BENGAL,706648,706648
2020,ANDAMAN & NICOBAR ISLANDS,0,0
2020,CHANDIGARH,24422,24422
2020,DELHI,496284,496284
2020,PUDUCHERRY,22816,22816
2020,TELANGANA,537753,537753
